system:index,cloud_cover,date,mean,name,zone,.geo
LC08_146040_20230117_0,0.75,2023-01-17,17.26032343999998,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20230117_1,0.75,2023-01-17,17.868731000000025,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230117_2,0.75,2023-01-17,17.803788619999978,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230117_3,0.75,2023-01-17,17.509838899999977,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230117_4,0.75,2023-01-17,17.783280500000046,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230117_5,0.75,2023-01-17,18.248131220000005,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20230117_6,0.75,2023-01-17,17.19196304000002,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20230117_7,0.75,2023-01-17,17.86531298,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20230117_8,0.75,2023-01-17,17.591871380000043,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20230117_9,0.75,2023-01-17,17.273995520000028,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20230202_0,12.07,2023-02-02,20.97571118000002,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20230202_1,12.07,2023-02-02,21.48157814000001,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230202_2,12.07,2023-02-02,21.11926802000005,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230202_3,12.07,2023-02-02,21.344857340000033,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230202_4,12.07,2023-02-02,20.199820639999984,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230202_5,12.07,2023-02-02,21.167120300000022,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
