cloud_cover,date,LST_Celsius,name,zone,month,month_name,season,zone_code,UHI_intensity
0.75,2023-01-17,17.26,Connaught Place,urban_core,1,Jan,Winter,4,-15.13
0.75,2023-01-17,17.87,Karol Bagh,urban_core,1,Jan,Winter,4,-14.52
0.75,2023-01-17,17.8,Dwarka,suburban,1,Jan,Winter,3,-14.59
0.75,2023-01-17,17.51,Laxmi Nagar,suburban,1,Jan,Winter,3,-14.88
0.75,2023-01-17,17.78,Najafgarh,peri_urban,1,Jan,Winter,2,-14.61
0.75,2023-01-17,18.25,Tughlaqabad,peri_urban,1,Jan,Winter,2,-14.14
0.75,2023-01-17,17.19,Bahadurgarh,rural,1,Jan,Winter,1,-15.2
0.75,2023-01-17,17.87,Ghaziabad outskirts,rural,1,Jan,Winter,1,-14.52
0.75,2023-01-17,17.59,Delhi Ridge Forest,green_space,1,Jan,Winter,0,-14.8
0.75,2023-01-17,17.27,Lodhi Garden,green_space,1,Jan,Winter,0,-15.12
12.07,2023-02-02,20.98,Connaught Place,urban_core,2,Feb,Winter,4,-11.41
12.07,2023-02-02,21.48,Karol Bagh,urban_core,2,Feb,Winter,4,-10.91
12.07,2023-02-02,21.12,Dwarka,suburban,2,Feb,Winter,3,-11.27
12.07,2023-02-02,21.34,Laxmi Nagar,suburban,2,Feb,Winter,3,-11.05
12.07,2023-02-02,20.2,Najafgarh,peri_urban,2,Feb,Winter,2,-12.19
12.07,2023-02-02,21.17,Tughlaqabad,peri_urban,2,Feb,Winter,2,-11.22
12.07,2023-02-02,19.93,Bahadurgarh,rural,2,Feb,Winter,1,-12.46
12.07,2023-02-02,20.38,Ghaziabad outskirts,rural,2,Feb,Winter,1,-12.01
12.07,2023-02-02,20.69,Delhi Ridge Forest,green_space,2,Feb,Winter,0,-11.7
12.07,2023-02-02,21.16,Lodhi Garden,green_space,2,Feb,Winter,0,-11.23
0.77,2023-02-18,26.67,Connaught Place,urban_core,2,Feb,Winter,4,-5.72
0.77,2023-02-18,27.27,Karol Bagh,urban_core,2,Feb,Winter,4,-5.12
0.77,2023-02-18,26.64,Dwarka,suburban,2,Feb,Winter,3,-5.75
0.77,2023-02-18,26.92,Laxmi Nagar,suburban,2,Feb,Winter,3,-5.47
0.77,2023-02-18,26.93,Najafgarh,peri_urban,2,Feb,Winter,2,-5.46
0.77,2023-02-18,26.92,Tughlaqabad,peri_urban,2,Feb,Winter,2,-5.47
0.77,2023-02-18,24.29,Bahadurgarh,rural,2,Feb,Winter,1,-8.1
0.77,2023-02-18,27.12,Ghaziabad outskirts,rural,2,Feb,Winter,1,-5.27
0.77,2023-02-18,26.78,Delhi Ridge Forest,green_space,2,Feb,Winter,0,-5.61
0.77,2023-02-18,26.68,Lodhi Garden,green_space,2,Feb,Winter,0,-5.71
0.04,2023-03-06,31.6,Connaught Place,urban_core,3,Mar,Summer,4,-0.79
0.04,2023-03-06,33.38,Karol Bagh,urban_core,3,Mar,Summer,4,0.99
0.04,2023-03-06,32.08,Dwarka,suburban,3,Mar,Summer,3,-0.31
0.04,2023-03-06,32.55,Laxmi Nagar,suburban,3,Mar,Summer,3,0.16
0.04,2023-03-06,32.65,Najafgarh,peri_urban,3,Mar,Summer,2,0.26
0.04,2023-03-06,33.09,Tughlaqabad,peri_urban,3,Mar,Summer,2,0.7
0.04,2023-03-06,31.86,Bahadurgarh,rural,3,Mar,Summer,1,-0.53
0.04,2023-03-06,32.03,Ghaziabad outskirts,rural,3,Mar,Summer,1,-0.36
